Entity,Code,Year,Life expectancy at birth (historical),GDP per capita,417485-annotations,Population (historical estimates),Continent
Africa,,1873,,,,123697570,
Africa,,1874,,,,124303524,
Africa,,1875,,,,124914434,
Africa,,1876,,,,125530329,
Africa,,1877,,,,126151259,
Africa,,1878,,,,126777272,
Africa,,1879,,,,127418579,
Africa,,1880,,,,128257119,
Africa,,1881,,,,128747572,
Africa,,1882,,,,129435490,
Africa,,1883,,,,130139177,
Africa,,1884,,,,130848603,
Africa,,1885,,,,131563803,
Africa,,1886,,,,132284841,
Africa,,1887,,,,133011765,
Africa,,1888,,,,133744628,
Africa,,1889,,,,134394419,
Africa,,1890,,,,135129385,
Africa,,1891,,,,135445399,
Africa,,1892,,,,135846881,
Africa,,1893,,,,136165893,
Africa,,1894,,,,136491624,
Africa,,1895,,,,136824118,
Africa,,1896,,,,137163427,
Africa,,1897,,,,137509591,
Africa,,1898,,,,137862661,
Africa,,1899,,,,138243556,
Africa,,1900,,,,138827369,
Africa,,1901,,,,139094637,
Africa,,1902,,,,139567767,
Africa,,1903,,,,140074606,
Africa,,1904,,,,140595545,
Africa,,1905,,,,141130711,
Africa,,1906,,,,141680233,
Africa,,1907,,,,142244256,
Africa,,1908,,,,142822923,
Africa,,1909,,,,143407172,
Africa,,1910,,,,144170612,
Africa,,1911,,,,144586985,
Africa,,1912,,,,145180745,
Africa,,1913,,,,145775225,
Africa,,1914,,,,146378430,
Africa,,1915,,,,146990451,
Africa,,1916,,,,147611381,
Africa,,1917,,,,148241306,
Africa,,1918,,,,148852646,
Africa,,1919,,,,149715052,
Africa,,1920,,,,151007600,
Africa,,1921,,,,152208708,
Africa,,1922,,,,153847948,
Africa,,1923,,,,155754237,
Africa,,1924,,,,157688951,
Africa,,1925,,,,159652537,
Africa,,1926,,,,161645440,
Africa,,1927,,,,163668127,
Africa,,1928,,,,165721048,
Africa,,1929,,,,167806256,
Africa,,1930,,,,170123290,
Africa,,1931,,,,172075410,
Africa,,1932,,,,174260306,
Africa,,1933,,,,176479403,
Africa,,1934,,,,178731614,
Africa,,1935,,,,181017458,
Africa,,1936,,,,183337445,
Africa,,1937,,,,185692116,
Africa,,1938,,,,188081992,
Africa,,1939,,,,190625616,
Africa,,1940,,,,193553408,
Africa,,1941,,,,196192789,
Africa,,1942,,,,199225975,
Africa,,1943,,,,202432183,
Africa,,1944,,,,205698555,
Africa,,1945,,,,209026260,
Africa,,1946,,,,212416498,
Africa,,1947,,,,215870471,
Africa,,1948,,,,219389433,
Africa,,1949,,,,223251064,
Akrotiri and Dhekelia,OWID_AKD,2015,,,,,Asia
Albania,ALB,1950,44.7,1596,,1252587,
Albania,ALB,1951,45.1,1666,,1289175,
Albania,ALB,1952,46,1667,,1326957,
Albania,ALB,1953,46.5,1736,,1366747,
Albania,ALB,1954,47.6,1785,,1409011,
Albania,ALB,1955,48.5,1882,,1453732,
Albania,ALB,1956,49.6,1902,,1500625,
Albania,ALB,1957,50.7,2023,,1549575,
Albania,ALB,1958,52,2114,,1600986,
Albania,ALB,1959,53.2,2201,,1655022,
Albania,ALB,1960,54.4,2313,,1711189,
Albania,ALB,1961,55.6,2332,,1769076,
Albania,ALB,1962,56.7,2409,,1828234,
Albania,ALB,1963,57.8,2491,,1888302,
Albania,ALB,1964,59,2576,,1949020,
Albania,ALB,1965,60,2670,,2009793,
Albania,ALB,1966,61,2770,,2070694,
Albania,ALB,1967,62,2876,,2132447,
Albania,ALB,1968,62.9,2979,,2195474,
Albania,ALB,1969,63.9,3080,,2259797,
Albania,ALB,1970,64.8,3194,,2324733,
Albania,ALB,1971,65.6,3322,,2389820,
Albania,ALB,1972,66.4,3451,,2455181,
Albania,ALB,1973,67.1,3623,,2520442,
Albania,ALB,1974,67.8,3637,,2585457,
Albania,ALB,1975,68.3,3649,,2650128,
Albania,ALB,1976,68.7,3665,,2713564,
Albania,ALB,1977,69.1,3681,,2774798,
Albania,ALB,1978,69.3,3696,,2833317,
Albania,ALB,1979,69.6,3716,,2888764,
Albania,ALB,1980,70.5,3741,,2941650,
Albania,ALB,1981,70.7,3762,,2992391,
Albania,ALB,1982,71,3783,,3041188,
Albania,ALB,1983,71.3,3805,,3087904,
Albania,ALB,1984,71.5,3826,,3131731,
Albania,ALB,1985,71.7,3846,,3171727,
Albania,ALB,1986,71.9,3870,,3207129,
Albania,ALB,1987,72.4,3894,,3237677,
Albania,ALB,1988,72.6,3920,,3263019,
Albania,ALB,1989,72.9,3948,,3282187,
Albania,ALB,1990,73.1,3983,,3295073,
Albania,ALB,1991,73.4,2942.1006,,3302087,
Albania,ALB,1992,73.7,2841.7651,,3303738,
Albania,ALB,1993,73.9,3137.024,,3300715,
Albania,ALB,1994,74.1,3399.7102,,3294001,
Albania,ALB,1995,74.4,3666.6506,,3284370,
Albania,ALB,1996,74.6,3965.6853,,3271336,
Albania,ALB,1997,73.9,3526.9856,,3253721,
Albania,ALB,1998,75,3873.3733,,3232185,
Albania,ALB,1999,75.2,4432.0425,,3208265,
Albania,ALB,2000,75.4,4808.4795,,3182027,
Albania,ALB,2001,75.6,5285.809,,3153615,
Albania,ALB,2002,75.9,5608.9624,,3123554,
Albania,ALB,2003,76.1,6004.645,,3092993,
Albania,ALB,2004,76.4,6419.8706,,3062629,
Albania,ALB,2005,76.6,6858.467,,3032636,
Albania,ALB,2006,76.8,7347.33,,3003391,
Albania,ALB,2007,77.5,7866.1577,,2976089,
Albania,ALB,2008,77.7,8522.13,,2951690,
Albania,ALB,2009,77.8,8859.472,,2930553,
Albania,ALB,2010,77.9,9222.973,,2913402,
Albania,ALB,2011,78.1,9484,,2900660,
Albania,ALB,2012,78.1,9592,,2892191,
Albania,ALB,2013,78.1,9660,,2887019,
Albania,ALB,2014,78.4,9808,,2884100,
Albania,ALB,2015,78.6,10032,,2882482,Europe
Albania,ALB,2016,78.9,10342,,2881064,
Albania,ALB,2017,79,10702.12,,2879361,
Albania,ALB,2018,79.2,11104.166,,2877019,
Albania,ALB,2019,79.3,,,2873883,
Albania,ALB,2020,77,,,2866850,
Albania,ALB,2021,76.5,,,2854710,
Albania,ALB,1870,,711,,606465,
Albania,ALB,1890,,953,,734542,
Albania,ALB,1900,,1092,,811069,
Albania,ALB,1910,,1243,,887729,
Albania,ALB,1913,,1293,,907070,
Albania,ALB,1929,,1476,,996604,
Albania,ALB,-10000,,,,1199,
Albania,ALB,-9000,,,,1999,
Albania,ALB,-8000,,,,3332,
Albania,ALB,-7000,,,,5554,
Albania,ALB,-6000,,,,9256,
Albania,ALB,-5000,,,,15428,
Albania,ALB,-4000,,,,25713,
Albania,ALB,-3000,,,,42855,
Albania,ALB,-2000,,,,71426,
Albania,ALB,-1000,,,,119043,
Albania,ALB,0,,,,198405,
Albania,ALB,100,,,,198604,
Albania,ALB,200,,,,198803,
Albania,ALB,300,,,,199001,
Albania,ALB,400,,,,199201,
Albania,ALB,500,,,,199400,
Albania,ALB,600,,,,199600,
Albania,ALB,700,,,,199799,
Albania,ALB,800,,,,200000,
Albania,ALB,900,,,,200000,
Albania,ALB,1000,,,,200000,
Albania,ALB,1100,,,,200000,
Albania,ALB,1200,,,,200000,
Albania,ALB,1300,,,,200000,
Albania,ALB,1400,,,,200000,
Albania,ALB,1500,,,,200000,
Albania,ALB,1600,,,,200000,
Albania,ALB,1700,,,,299999,
Albania,ALB,1710,,,,311416,
Albania,ALB,1720,,,,322833,
Albania,ALB,1730,,,,334250,
Albania,ALB,1740,,,,345666,
Albania,ALB,1750,,,,357083,
Albania,ALB,1760,,,,368499,
Albania,ALB,1770,,,,379916,
Albania,ALB,1780,,,,391333,
Albania,ALB,1790,,,,402750,
Albania,ALB,1800,,,,400000,
Albania,ALB,1801,,,,401773,
Albania,ALB,1802,,,,403554,
Albania,ALB,1803,,,,405343,
Albania,ALB,1804,,,,407140,
Albania,ALB,1805,,,,408945,
Albania,ALB,1806,,,,410758,
Albania,ALB,1807,,,,412579,
Albania,ALB,1808,,,,414408,
Albania,ALB,1809,,,,416246,
Albania,ALB,1810,,,,418099,
Albania,ALB,1811,,,,419953,
Albania,ALB,1812,,,,421814,
Albania,ALB,1813,,,,423684,
Albania,ALB,1814,,,,425563,
Albania,ALB,1815,,,,427449,
Albania,ALB,1816,,,,429344,
Albania,ALB,1817,,,,431248,
Albania,ALB,1818,,,,433159,
Albania,ALB,1819,,,,435086,
Albania,ALB,1820,,,,437026,
Albania,ALB,1821,,,,438981,
Albania,ALB,1822,,,,440950,
Albania,ALB,1823,,,,442934,
Albania,ALB,1824,,,,444927,
Albania,ALB,1825,,,,446929,
Albania,ALB,1826,,,,448940,
Albania,ALB,1827,,,,450959,
Albania,ALB,1828,,,,452988,
Albania,ALB,1829,,,,455027,
Albania,ALB,1830,,,,457074,
Albania,ALB,1831,,,,459130,
Albania,ALB,1832,,,,461196,
Albania,ALB,1833,,,,463271,
Albania,ALB,1834,,,,465356,
Albania,ALB,1835,,,,467449,
Albania,ALB,1836,,,,469552,
Albania,ALB,1837,,,,471665,
Albania,ALB,1838,,,,473787,
Albania,ALB,1839,,,,475919,
Albania,ALB,1840,,,,478060,
Albania,ALB,1841,,,,480211,
Albania,ALB,1842,,,,482372,
Albania,ALB,1843,,,,484542,
Albania,ALB,1844,,,,486722,
Albania,ALB,1845,,,,488912,
Albania,ALB,1846,,,,491112,
